date,open,high,low,close,volume,name
15-04-2020,1760.7,1762.7,1736.4,1751.5,0.00K,XAUUSD
16-04-2020,1766.5,1766.5,1766.5,1742.7,0.00K,XAUUSD
17-04-2020,1717.8,1717.8,1717.8,1708.9,0.02K,XAUUSD
20-04-2020,1715.6,1715.6,1715.6,1721.3,0.00K,XAUUSD
21-04-2020,1722.2,1722.2,1679.6,1698.2,0.08K,XAUUSD
22-04-2020,1709.5,1709.5,1709.5,1749.8,0.01K,XAUUSD
23-04-2020,1753.1,1762.2,1753.1,1757.8,0.00K,XAUUSD
24-04-2020,1759,1759,1745,1748.9,0.00K,XAUUSD
27-04-2020,1746.7,1753,1726.8,1738.8,0.13K,XAUUSD
28-04-2020,1731.8,1740,1712.7,1738.7,3.06K,XAUUSD
29-04-2020,1727.6,1744.1,1727.6,1730.3,0.01K,XAUUSD
30-04-2020,1706.4,1706.4,1706.4,1713.2,0.05K,XAUUSD
01-05-2020,1720.1,1720.1,1720.1,1721.1,0.01K,XAUUSD
04-05-2020,1729.1,1729.1,1725.7,1741,0.03K,XAUUSD
05-05-2020,1725.8,1739.1,1725.8,1743.8,0.40K,XAUUSD
06-05-2020,1728.4,1728.4,1713,1721.7,0.01K,XAUUSD
07-05-2020,1718.9,1722.8,1718.5,1761.1,0.05K,XAUUSD
08-05-2020,1747.8,1747.8,1747.8,1750.3,0.00K,XAUUSD
11-05-2020,1727.7,1734.2,1714.2,1734.4,0.05K,XAUUSD
12-05-2020,1733.2,1734.5,1731.9,1741.7,0.01K,XAUUSD
13-05-2020,1729.1,1750.3,1729.1,1750.3,0.01K,XAUUSD
14-05-2020,1747.1,1747.1,1747.1,1774.4,0.00K,XAUUSD
15-05-2020,1776.2,1781.5,1776.2,1790.4,0.45K,XAUUSD
18-05-2020,1795.4,1795.4,1795.4,1772.6,0.14K,XAUUSD
19-05-2020,1784.2,1784.2,1784.2,1785.1,0.00K,XAUUSD
20-05-2020,1784,1791.2,1784,1792.1,0.08K,XAUUSD
21-05-2020,1780.1,1780.1,1753.6,1760.5,0.15K,XAUUSD
